Year,Day,ID,Mass
2015,1,bird1,1.369660511
2015,2,bird1,2.079658012
2015,3,bird1,3.561813332
2015,4,bird1,8.827570552
2015,5,bird1,8.952787041
2015,6,bird1,9.421198961
2015,7,bird1,10.00998968
2015,8,bird1,12.64444827
2015,9,bird1,12.98973237
2015,10,bird1,17.14432889
2015,11,bird1,17.56694612
2015,12,bird1,18.28252317
2015,13,bird1,20.08494911
2015,14,bird1,21.98706148
2015,15,bird1,24.0226739
2015,1,bird2,1.578923815
2015,2,bird2,1.841391658
2015,3,bird2,2.614470792
2015,4,bird2,2.715107164
2015,5,bird2,6.291371409
2015,6,bird2,11.15763346
2015,7,bird2,11.19890517
2015,8,bird2,13.25659077
2015,9,bird2,13.84164765
2015,10,bird2,15.18278906
2015,11,bird2,15.85470341
2015,12,bird2,16.19683209
2015,13,bird2,16.69945073
2015,14,bird2,21.71959264
2015,15,bird2,22.40696035
2015,1,bird3,0.537491142
2015,2,bird3,4.652619513
2015,3,bird3,6.208065106
2015,4,bird3,6.829190435
2015,5,bird3,7.464298827
2015,6,bird3,7.851221925
2015,7,bird3,7.884314755
2015,8,bird3,10.86565454
2015,9,bird3,11.91893513
2015,10,bird3,13.70721901
2015,11,bird3,16.80777616
2015,12,bird3,20.58764818
2015,13,bird3,21.7788836
2015,14,bird3,22.20548461
2015,15,bird3,22.71659509
2015,1,bird4,1.323334762
2015,2,bird4,1.580199716
2015,3,bird4,1.709526096
2015,4,bird4,3.82946257
2015,5,bird4,4.028352496
2015,6,bird4,4.4184289
2015,7,bird4,5.797409598
2015,8,bird4,6.12850826
2015,9,bird4,6.654809532
2015,10,bird4,11.4219614
2015,11,bird4,13.69944331
2015,12,bird4,15.80156578
2015,13,bird4,16.10824579
2015,14,bird4,18.81655804
2015,15,bird4,21.94043768
2015,1,bird5,0.673694257
2015,2,bird5,0.858988729
2015,3,bird5,1.471398637
2015,4,bird5,1.818081026
2015,5,bird5,3.133737424
2015,6,bird5,4.235782736
2015,7,bird5,4.358316283
2015,8,bird5,6.92462491
2015,9,bird5,7.708551863
2015,10,bird5,12.36562862
2015,11,bird5,12.37922664
2015,12,bird5,16.34002134
2015,13,bird5,16.99930888
2015,14,bird5,18.88994454
2015,15,bird5,24.00097424
2015,1,bird6,1.37526645
2015,2,bird6,2.894268831
2015,3,bird6,3.876924101
2015,4,bird6,7.041714172
2015,5,bird6,7.497670816
2015,6,bird6,7.598036958
2015,7,bird6,12.41552571
2015,8,bird6,14.07843832
2015,9,bird6,14.68173769
2015,10,bird6,14.81942604
2015,11,bird6,15.3284526
2015,12,bird6,17.04086007
2015,13,bird6,21.64565361
2015,14,bird6,21.72619643
2015,15,bird6,24.2301401
2015,1,bird7,0.57356917
2015,2,bird7,1.615809544
2015,3,bird7,2.392079792
2015,4,bird7,2.457964543
2015,5,bird7,6.753019971
2015,6,bird7,7.080118911
2015,7,bird7,8.38543959
2015,8,bird7,8.924524684
2015,9,bird7,12.54509735
2015,10,bird7,13.73782034
2015,11,bird7,14.25281556
2015,12,bird7,15.10170134
2015,13,bird7,15.53113047
2015,14,bird7,20.37372217
2015,15,bird7,22.08411196
2015,1,bird8,0.186992809
2015,2,bird8,2.556011191
2015,3,bird8,5.665610684
2015,4,bird8,7.49290213
2015,5,bird8,8.396127814
2015,6,bird8,9.650924196
2015,7,bird8,11.05461195
2015,8,bird8,12.24698805
2015,9,bird8,13.88173187
2015,10,bird8,15.85780553
2015,11,bird8,17.62308808
2015,12,bird8,18.56914026
2015,13,bird8,20.21186018
2015,14,bird8,24.15664226
2015,15,bird8,24.86304645
2015,1,bird9,0.286532915
2015,2,bird9,2.152385574
2015,3,bird9,8.289411181
2015,4,bird9,11.50756467
2015,5,bird9,13.58785451
2015,6,bird9,15.21041139
2015,7,bird9,15.67088583
2015,8,bird9,16.35104728
2015,9,bird9,16.64889013
2015,10,bird9,17.62179762
2015,11,bird9,19.329289
2015,12,bird9,21.62310614
2015,13,bird9,21.63532989
2015,14,bird9,23.82957825
2015,15,bird9,24.90517769
2015,1,bird10,3.918805037
2015,2,bird10,6.615121715
2015,3,bird10,7.927464787
2015,4,bird10,8.408459974
2015,5,bird10,9.007154271
2015,6,bird10,9.051298909
2015,7,bird10,10.02854551
2015,8,bird10,10.84251741
2015,9,bird10,12.85740386
2015,10,bird10,13.32872799
2015,11,bird10,14.92789812
2015,12,bird10,15.86381606
2015,13,bird10,17.45830131
2015,14,bird10,20.26969568
2015,15,bird10,23.56556843
